epochs,learning_rate,weight_decay,aug_map,paths,scores
12,5e-05,0.0001,<function augment2 at 0x7f6f6052ed30>,cifar/cifar-12_5e-05_0.0001974.h5,0.82669997215271
12,5e-05,0.0001,<function augment2 at 0x7f6f6052ed30>,cifar/cifar-12_5e-05_0.0001141.h5,0.8154000043869019
10,0.0001,0.0001,,cifar/cifar-10_0.0001_0.0001682.h5,0.8048999905586243
8,0.0001,1e-05,,cifar/cifar-8_0.0001_1e-05781.h5,0.8041999936103821
12,5e-05,0.0001,,cifar/cifar-12_5e-05_0.000153.h5,0.7976999878883362
10,5e-05,1e-05,,cifar/cifar-10_5e-05_1e-05170.h5,0.7961999773979187
8,0.0001,1e-05,,cifar/cifar-8_0.0001_1e-05313.h5,0.7944999933242798
10,1e-05,0.0001,<function augment2 at 0x7f6f6052ed30>,cifar/cifar-10_1e-05_0.0001310.h5,0.7939000129699707
10,0.0001,0.0001,,cifar/cifar-10_0.0001_0.0001323.h5,0.7924000024795532
12,0.0001,0.0001,<function augment1 at 0x7f6f6052e4c0>,cifar/cifar-12_0.0001_0.0001318.h5,0.784600019454956
10,0.0001,0.0001,,cifar/cifar-10_0.0001_0.0001963.h5,0.7766000032424927
8,5e-05,0.0001,<function augment1 at 0x7f6f6052e4c0>,cifar/cifar-8_5e-05_0.0001762.h5,0.7764000296592712
8,1e-05,0.0001,<function augment2 at 0x7f6f6052ed30>,cifar/cifar-8_1e-05_0.000115.h5,0.7742000222206116
8,1e-05,0.0001,<function augment2 at 0x7f6f6052ed30>,cifar/cifar-8_1e-05_0.0001302.h5,0.7717000246047974
10,5e-05,0.0001,<function augment1 at 0x7f6f6052e4c0>,cifar/cifar-10_5e-05_0.0001706.h5,0.7677000164985657
8,5e-05,0.0001,<function augment1 at 0x7f6f6052e4c0>,cifar/cifar-8_5e-05_0.0001651.h5,0.7587000131607056
8,1e-05,0.0001,,cifar/cifar-8_1e-05_0.0001924.h5,0.7526999711990356
10,1e-05,1e-05,<function augment2 at 0x7f6f6052ed30>,cifar/cifar-10_1e-05_1e-05922.h5,0.75
8,1e-05,1e-05,,cifar/cifar-8_1e-05_1e-05429.h5,0.7193999886512756
12,1e-05,1e-05,<function augment1 at 0x7f6f6052e4c0>,cifar/cifar-12_1e-05_1e-05720.h5,0.7081999778747559
